Charge Description,Charge Price,$0 Charge Type,Per Minute Rate
RPR LAC 2.5 CM/< PST ONE-THIRD TONGUE                                           ,$920.00 ,,
RPR LAC APPL TISSUE GLUE WOUND CORNEA&/SCLERA                                   ,"$1,071.00 ",,
RPR LIP FULL THICKNESS HALF/< VERTICAL HEIGHT                                   ,"$1,060.00 ",,
RPR LIP FULL THICKNESS VERMILION ONLY                                           ,$921.00 ,,
RPR RETINAL DTCHMNT DRG SUBRETINAL FLUID CRTX                                   ,"$3,521.00 ",,
RPR RETINAL DTCHMNT DRG SUBRETINAL FLUID PC                                     ,"$4,058.00 ",,
RPR RETINAL DTCHMNT INJECTION AIR/OTHER GAS                                     ,"$3,504.00 ",,
RPR TUN/NON-TUN CTR VAD CATH W/O SUBQ PORT/PMP                                  ,"$1,927.00 ",,
RPSG PREV IMPLTED CAR VEN SYS L VENTR ELTRD                                     ,"$2,625.00 ",,
RPSG PREV IMPLTED PM/DFB R ATR/R VENTR ELECTRODE                                ,"$2,625.00 ",,
RPSG PREVIOUSLY PLACED CVC UNDER FLUOR GDNCE                                    ,$910.00 ,,
RTRVL INTRVAS VC FILTR W/WO ACS VSL SELXN RS&I                                  ,"$7,696.00 ",,
"RUBIDIUM RB-82, DIAGNOSTIC, PER STUDY DOSE, UP TO 60 MI                         ","$1,000.00 ",,
RUSSELL VIPER VENOM TIME DILUTED                                                ,$58.00 ,,
RV5 VACCINE 3 DOSE SCHEDULE LIVE FOR ORAL USE                                   ,$112.00 ,,
RX SP-GENRATJ AUGMNT&COMUNICAJ DEV 1ST HR                                       ,$237.00 ,,
RX SP-GENRATJ AUGMNT&COMUNICAJ DEV EA 30 MIN                                    ,$45.00 ,,
RX&FITG C-LENS SUPVJ CRNL LENS OU XCPT APHK                                     ,$158.00 ,,
RX&FITG CONTACT CORNEAL LENS APHAKIA 1 EYE                                      ,$113.00 ,,
RX&FITG CONTACT CORNEAL LENS APHAKIA BOTH EYES                                  ,$138.00 ,,
RX/PHYSICAL EEG ACTIVAJ PHYS/QHP ATTENDANCE                                     ,$828.00 ,,
SALINE INFUS SONOHYSTEROGRAPHY W/COLOR DOPPLER                                  ,$618.00 ,,
"SAMARIUM SM-153 LEXIDRONAM, THERAPEUTIC, PER TREATMENT                          ","$15,191.00 ",,
SARGRAMOSTIM (GM-CSF) 50 MCG,$0.00 ,Invoice-based charges,
SC STD ANTMCRB AGT MACROBROTH DIL METH EA AGT                                   ,$324.00 ,,
SCLEROTHERAPY FLUID COLLECTION PRQ W/IMG GID                                    ,"$3,359.00 ",,
"SCREENING CYTOPATHOLOGY, CERVICAL OR VAGINAL (ANY REPOR                         ",$144.00 ,,
SCREENING DIGITAL BREAST TOMOSYNTHESIS BI                                       ,$150.00 ,,
SCREENING MAMMOGRAPHY BI 2-VIEW BREAST INC CAD                                  ,$704.00 ,,
"SCREENING PAPANICOLAOU SMEAR, CERVICAL OR VAGINAL, UP T                         ",$52.00 ,,
"SCREENING PAPANICOLAOU SMEAR; OBTAINING, PREPARING AND                          ",$236.00 ,,
SCREENING TEST PURE TONE AIR ONLY                                               ,$114.00 ,,
SCREENING TEST VISUAL ACUITY QUANTITATIVE BILAT                                 ,$53.00 ,,
SEC PRQ TRLUML THRMBC N-CORONARY N-INTRACRANIAL                                 ,"$8,844.00 ",,
SECONDARY CLOSURE SURG WOUND/DEHSN EXTSV/COMPLIC                                ,$584.00 ,,
SEDIMENTATION RATE RBC AUTOMATED                                                ,$24.00 ,,
SEDIMENTATION RATE RBC NON-AUTOMATED                                            ,$35.00 ,,
SELF-CARE/HOME MGMT TRAINING EACH 15 MINUTES                                    ,$153.00 ,,
SELF-PAY OPTHALMOLOGY SUPPLIES,$0.00 ,Invoice-based charges,
SEMEN ANALYSIS VOLUME COUNT MOTILITY DIFFERENT                                  ,$226.00 ,,
SENSORMOTOR XM W/MLT MEAS OCULAR DEVIJ W/I&R SPX                                ,$177.00 ,,
SENSORY INTEGRATIVE TECHNIQUES EACH 15 MINUTES                                  ,$110.00 ,,
"SEPTAL DEFECT IMPLANT SYSTEM, INTRACARDIAC                                      ","$19,990.00 ",,
SERIAL TONOMETRY SPX W/MLT MEAS INTRAOCULAR PRES                                ,$122.00 ,,
SEVERING TARSORRHAPHY                                                           ,"$1,325.00 ",,
SEVERING VITREOUS STRANS LASER 1/> STAGES                                       ,"$2,181.00 ",,
SGMDSC FLX DIRED SBMCSL NJX ANY SBST                                            ,"$1,235.00 ",,
SGMDSC FLX RMVL TUM POLYP/OTH LES SNARE TQ                                      ,$853.00 ,,
SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM >2.0 CM                                  ,$546.00 ,,
SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM 0.5 CM/<                                 ,$462.00 ,,
SHAVING SKIN LESION 1 S/N/H/F/G DIAM >2.0 CM                                    ,$546.00 ,,
SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<                                   ,$530.00 ,,
SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM                                 ,$530.00 ,,
SHAVING SKIN LESION 1 S/N/H/F/G DIAM 1.1-2.0 CM                                 ,$462.00 ,,
SHAVING SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.5CM/<                                ,$462.00 ,,
SHORT-LATENCY SOMATOSENS EP STD LWR LIMBS                                       ,"$1,718.00 ",,
SHORT-LATENCY SOMATOSENS EP STD TRNK/HEAD                                       ,$429.00 ,,
SHORT-LATENCY SOMATOSENS EP STD UPR LIMBS                                       ,$950.00 ,,
SHOWER COVER FOR USE WITH ELECTRIC OR ELECTRIC/PNEUMATI                         ,$690.00 ,,
SHUNTOGRAM INDWELLING NONVASCULAR SHUNT RS&I                                    ,"$1,664.00 ",,
SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM                                  ,$462.00 ,,
SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 1.1-2.0 CM                                  ,$546.00 ,,
SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM >2.0 CM                                   ,$546.00 ,,
SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.6-1.0 CM                                ,$462.00 ,,
SHVG SKN LESION 1 TRUNK/ARM/LEG DIAM 1.1-2.0 CM                                 ,$462.00 ,,
SIALOGRAPHY RS&I                                                                ,$924.00 ,,
SIALOT SUBMNDBLR SUBLNGL/PRTD UNCOMP INTRAORAL                                  ,"$5,213.00 ",,
SICKLING RBC REDUCTION                                                          ,$36.00 ,,
SIGMOIDOSCOPY FLX CONTROL BLEEDING                                              ,$853.00 ,,
SIGMOIDOSCOPY FLX DX W/COLLJ SPEC BR/WA IF PFRMD                                ,"$2,358.00 ",,
SIGMOIDOSCOPY FLX W/BIOPSY SINGLE/MULTIPLE                                      ,"$1,235.00 ",,
SIGMOIDOSCOPY FLX W/RMVL FOREIGN BODY                                           ,$853.00 ,,
SIGMOIDOSCOPY FLX W/RMVL TUMOR BY HOT BX FORCEPS                                ,$853.00 ,,
SIGNAL AVERAGED ELECTROCARDIOGRAPHY W/WO ECG                                    ,$317.00 ,,
SIMPLE CYSTOMETROGRAM                                                           ,$840.00 ,,
SIMPLE REPAIR F/E/E/N/L/M 12.6CM-20.0 CM                                        ,$192.00 ,,
SIMPLE REPAIR F/E/E/N/L/M 2.5CM/<                                               ,$192.00 ,,
SIMPLE REPAIR F/E/E/N/L/M 2.6CM-5.0 CM                                          ,$192.00 ,,
SIMPLE REPAIR F/E/E/N/L/M 20.1CM-30.0 CM                                        ,$192.00 ,,
SIMPLE REPAIR F/E/E/N/L/M 5.1CM-7.5 CM                                          ,$220.00 ,,
SIMPLE REPAIR F/E/E/N/L/M 7.6CM-12.5 CM                                         ,$206.00 ,,
SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK >30.0CM                                 ,$166.00 ,,
SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/<                                 ,$546.00 ,,
SIMPLE RPR SCALP/NECK/AX/GENIT/TRUNK 7.6-12.5CM                                 ,$206.00 ,,
SIMPLE UROFLOMETRY                                                              ,$101.00 ,,
SINGLE NERVE BLOCK INJECTION ARM NERVE                                          ,"$1,519.00 ",,
SIPULEUCEL-T AUTO CD54+,$0.00 ,Invoice-based charges,
"SIROLIMUS TABLET,1 MG",$0.00 ,Invoice-based charges,
SKIN TEST CANDIDA                                                               ,$42.00 ,,
SKIN TEST TUBERCULOSIS INTRADERMAL                                              ,$44.00 ,,
SKYLA 13.5 MG,$0.00 ,Invoice-based charges,
SLCTV CATH 1STORD W/WO ART PUNCT/FLUOR/S&I BIL                                  ,"$15,072.00 ",,
SLCTV CATH 1STORD W/WO ART PUNCT/FLUORO/S&I UN                                  ,"$7,536.00 ",,
SLCTV CATH CAROTID/INNOM ART ANGIO XTRCRANL ART                                 ,"$9,054.00 ",,
SLCTV CATH INTRCRNL BRNCH ANGIO INTRL CAROT/VERT                                ,"$6,659.00 ",,
SLCTV CATH INTRNL CAROTID ART ANGIO INTRCRNL ART                                ,"$11,876.00 ",,
SLCTV CATH PLMT SEGMENTAL/SUBSEGMENTAL PULM ART                                 ,"$1,233.00 ",,
SLCTV CATH PLMT VEN SYS 1ST ORDER BRANCH                                        ,"$1,085.00 ",,
SLCTV CATH PLMT VEN SYS 2ND ORDER/> SLCTV BRANC                                 ,"$1,001.00 ",,
SLCTV CATH SUBCLAVIAN ART ANGIO VERTEBRAL ARTERY                                ,"$9,054.00 ",,
SLCTV CATH VERTEBRAL ART ANGIO VERTEBRAL ARTERY                                 ,"$11,876.00 ",,
SLCTV CATH XTRNL CAROTID ANGIO XTRNL CAROTD CIRC                                ,"$6,659.00 ",,
SLCTV CATHETER PLMT LEFT/RIGHT PULMONARY ARTERY                                 ,"$1,233.00 ",,
SLCTV CATHJ 1ST 2ND ORD THRC/BRCH/CPHLC BRNCH                                   ,"$1,257.00 ",,
SLCTV CATHJ 2ND ORDER ABDL PEL/LXTR ART BRNCH                                   ,"$1,627.00 ",,
SLCTV CATHJ 3RD+ ORD SLCTV ABDL PEL/LXTR BRNCH                                  ,"$1,627.00 ",,
SLCTV CATHJ 3RD+ ORD SLCTV THRC/BRCH/CPHLC BRNCH                                ,"$1,444.00 ",,
SLCTV CATHJ EA 1ST ORD ABDL PEL/LXTR ART BRNCH                                  ,"$2,308.00 ",,
SLCTV CATHJ EA 1ST ORD THRC/BRCH/CPHLC BRNCH                                    ,"$1,306.00 ",,
SLCTV CATHJ EA 2ND+ ORD ABDL PEL/LXTR ART BRNCH                                 ,"$1,662.00 ",,
SLCTV CATHJ EA 2ND+ ORD THRC/BRCH/CPHLC BRNCH                                   ,$723.00 ,,
SLITTING PREPUCE DORSAL/LAT SPX XCP NEWBORN                                     ,"$5,213.00 ",,
SMPD1 GENE ANALYSIS COMMON VARIANTS                                             ,$207.00 ,,
SMPL REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.6-7.5CM                                 ,$348.00 ,,
SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 12.6-20.0CM                                  ,$192.00 ,,
SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 20.1-30.0CM                                  ,$192.00 ,,
SMR PRIM SRC CPLX SPEC STAIN OVA&PARASITS                                       ,$166.00 ,,
SMR PRIM SRC FLUORESCENT&/AFS BCT FNGI PARASIT                                  ,$65.00 ,,
SMR PRIM SRC GRAM/GIEMSA STAIN BCT FUNGI/CELL                                   ,$57.00 ,,
SMR PRIM SRC SPEC STAIN BODIES/PARASITS                                         ,$170.00 ,,
SMR PRIM SRC WET MOUNT NFCT AGT                                                 ,$42.00 ,,
SNIP INCISION LACRIMAL PUNCTUM                                                  ,$527.00 ,,
SNRPN/UBE3A METHYLATION ANALYSIS                                                ,$722.00 ,,
"SODIUM FLUORIDE F-18, DIAGNOSTIC, PER STUDY DOSE, UP TO                         ",$319.00 ,,
SODIUM SERUM PLASMA OR WHOLE BLOOD                                              ,$42.00 ,,
SOLESTA INJ KIT DXTRNMR-HYLRNT,$0.00 ,Invoice-based charges,
SORAFENIB,$0.00 ,Invoice-based charges,
SPCL STN 2 I&R EXCPT MICROORG/ENZYME/IMCYT                                      ,$174.00 ,,
SPEC DOSIM ONLY PRESCRIBED TREATING PHYS                                        ,$284.00 ,,
SPEC MEDICAL RADJ PHYSICS CONSLTJ                                               ,"$1,456.00 ",,
SPEC TELETHX PORT PLN PARTS HEMIBDY TOT BDY                                     ,$677.00 ,,
"SPECIAL CASTING MATERIAL (E.G., FIBERGLASS)                                     ",$52.00 ,,
SPECIAL STAIN GROUP 1 MICROORGANISMS I&R                                        ,$220.00 ,,
SPECIAL STAIN I&R GROUP III ENZYME CONSITUENTS                                  ,$181.00 ,,
SPECIAL STAIN I&R HISTOCHEMICAL W/FROZEN TISSU                                  ,$114.00 ,,
SPECIAL TREATMENT PROCEDURE                                                     ,"$1,359.00 ",,
"SPECIALTY ABSORPTIVE DRESSING, WOUND COVER, STERILE, PA                         ",$24.00 ,,
SPECTROPHOTOMETRY ANALYT NOT ELSEWHERE SPECIFIED                                ,$93.00 ,,
SPERM ANTIBODIES                                                                ,$202.00 ,,
SPINAL PUNCTURE LUMBAR DIAGNOSTIC                                               ,"$3,104.00 ",,
SPINAL PUNCTURE THER DRAIN CEREBROSPINAL FLUID                                  ,"$2,167.00 ",,
SPINE SURGICAL SUPPLIES,$0.00 ,Invoice-based charges,
SPLEEN IMAGING ONLY W/WO VASCULAR FLOW                                          ,$657.00 ,,
SPLENOPORTOGRAPY RS&I                                                           ,"$10,545.00 ",,
SPLINT                                                                          ,$13.00 ,,
SPLIT AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/</1 %                                 ,"$1,338.00 ",,
SPLIT AGRFT F/S/N/H/F/G/M/D GT EA 100 CM/EA 1 %                                 ,"$1,338.00 ",,
SPLIT AGRFT T/A/L 1ST 100 CM/&/1% BDY INFT/CHLD                                 ,"$1,338.00 ",,
SPLIT AGRFT T/A/L EA 100 CM/EA 1% BDY INFT/CHLD                                 ,"$1,338.00 ",,
SPLITTING BLOOD/BLOOD PRODUCTS EACH UNIT                                        ,$161.00 ,,
SPMTRY W/VC EXPIRATORY FLO W/WO MXML VOL VNTJ                                   ,$610.00 ,,
SPRM ISOL SMPL PREP INSEMINATION/DX SEMEN ALYS                                  ,$248.00 ,,
SPUTUM OBTAINING SPEC AEROSOL INDUCED TX SPX                                    ,$46.00 ,,
STANDARD KIT SURGICAL SUPPLIES,$0.00 ,Invoice-based charges,
STENT PLMT CENTRAL DIAYLSIS SEG PFRMD DIAL CIR                                  ,$980.00 ,,
STENT SURGICAL SUPPLIES,$0.00 ,Invoice-based charges,
"STENT, COATED/COVERED, WITH DELIVERY SYSTEM                                     ","$60,320.00 ",,
"STENT, COATED/COVERED, WITHOUT DELIVERY SYSTEM                                  ","$1,985.00 ",,
"STENT, NON-COATED/NON-COVERED, WITH DELIVERY SYSTEM                             ","$6,000.00 ",,
"STENT, NON-COATED/NON-COVERED, WITHOUT DELIVERY SYSTEM                          ","$4,400.00 ",,
"STENT, NON-CORONARY, TEMPORARY, WITH DELIVERY SYSTEM                            ","$4,500.00 ",,
"STENT, NON-CORONARY, TEMPORARY, WITHOUT DELIVERY SYSTEM                         ","$4,600.00 ",,
STEREOTACTIC BODY RADIATION DELIVERY                                            ,"$6,919.00 ",,
STIMULUS EVOKED RESPONSE                                                        ,$314.00 ,,
STRAPPING ANKLE &/FOOT                                                          ,$522.00 ,,
STRAPPING ELBOW/WRIST                                                           ,$295.00 ,,
STRAPPING HAND/FINGER                                                           ,$298.00 ,,
STRAPPING KNEE                                                                  ,$295.00 ,,
STRAPPING SHOULDER                                                              ,$295.00 ,,
STRAPPING TOES                                                                  ,$522.00 ,,
STRAPPING UNNA BOOT                                                             ,$616.00 ,,
STREPTOMYCIN 1GM,$0.00 ,Invoice-based charges,
STREPTOZOCIN 1 GM,$0.00 ,Invoice-based charges,
SUB GRFT F/S/N/H/F/G/M/D <100SQ CM 1ST 25 SQ CM                                 ,"$1,235.00 ",,
SUB GRFT F/S/N/H/F/G/M/D >/= 100SCM 1ST 100SQ CM                                ,"$1,249.00 ",,
SUB GRFT F/S/N/H/F/G/M/D >/= 100SCM ADL 100SQ CM                                ,"$1,235.00 ",,
SUB GRFT F/S/N/H/F/G/M/D<100SQ CM EA ADDL25SQ CM                                ,"$1,235.00 ",,
SUBCONJUNCTIVAL INJECTION                                                       ,$224.00 ,,
SUBCUTANEOUS INFUSION INITIAL 1 HR W/PUMP SET-UP                                ,$871.00 ,,
SUGAMMADEX INJECTION,$0.00 ,Invoice-based charges,
SUGARS MONO DI&OLIGOS 1 QUALITATAIVE EACH SPEC                                  ,$45.00 ,,
SUNITINIB,$0.00 ,Invoice-based charges,
SUPERVISION HANDLING LOADING RADIATION SOURCE                                   ,$386.00 ,,
SUPPLIES&MATERIALS ABOVE/BEYOND PROV BY PHYS/QHP                                ,$86.00 ,,
SUPSLCTV CATH 2ND+ORD RENAL&ACCESSORY ARTERY/S&I                                ,"$7,536.00 ",,
SUPSLCTV CATH 2ND+ORD RENAL&ACCESSORY ARTERY/S&I                                ,"$15,072.00 ",,
SURG TX ANAL FISTULA 2ND STAGE                                                  ,"$3,104.00 ",,
"SURGICAL BOOT/SHOE, EACH                                                        ",$16.00 ,,
"SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATIONS,                         ","$3,375.00 ",,
"SURGICAL STOCKINGS BELOW KNEE LENGTH, EACH                                      ",$23.00 ,,
SUSCEPTBILTY STDY ANTIMICRBIAL AGNT AGAR DILUTJ                                 ,$26.00 ,,
SUSCEPTIBILITY STUDY ANTIMICROBIAL DISK METHOD                                  ,$82.00 ,,
SUSCEPTIBILITY STUDY ANTIMICROBIAL ENZYME DETCJ                                 ,$21.00 ,,
SUSCEPTIBLTY STDY ANTIMICRBIAL MICRO/AGAR DILUTJ                                ,$80.00 ,,
SUTR WND EYELID/MARGIN/TARSUS/CONJUNC FULL THICK                                ,"$2,186.00 ",,
SUTR WND EYELID/MARGIN/TARSUS/CONJUNC PRTL THICK                                ,"$2,182.00 ",,
SWALLOWING FUNCJ W/CINERADIOGRAPY/VIDRADIOG                                     ,"$1,074.00 ",,
SYPHILIS TEST NON-TREPONEMAL ANTIBODY QUAL                                      ,$74.00 ,,
SYPHILIS TEST QUANTITATIVE                                                      ,$52.00 ,,
T CELLS ABSOLUTE CD4&CD8 COUNT RATIO                                            ,$73.00 ,,
T CELLS TOTAL COUNT                                                             ,$65.00 ,,
TACROL ENVARSUS EX REL ORAL,$0.00 ,Invoice-based charges,
"TACROLIMUS(PROGRAF),ORAL,1 MG",$0.00 ,Invoice-based charges,
"TACROLIMUS,PARENTERAL, 5 MG",$0.00 ,Invoice-based charges,
TALIMOGENE LAHERPAREPVEC INJ,$0.00 ,Invoice-based charges,
TANGENTIAL BIOPSY SKIN SINGLE LESION                                            ,$546.00 ,,
TAP BLOCK BILATERAL BY CONTINUOUS INFUSION(S)                                   ,$790.00 ,,
TAP BLOCK BILATERAL BY INJECTION(S)                                             ,$790.00 ,,
TAP BLOCK UNILATERAL BY CONTINUOUS INFUSION(S)                                  ,$790.00 ,,
TAP BLOCK UNILATERAL BY INJECTION(S)                                            ,$790.00 ,,
TATTOOING INCL MICROPIGMENTATION 6.1-20.0 CM                                    ,"$1,235.00 ",,
TATTOOING INCL MICROPIGMENTATION EA 20.0 CM                                     ,"$1,235.00 ",,
TB CELL MEDIATED ANTIGN RESPNSE GAMMA INTERFERON                                ,$390.00 ,,
TCAT INSJ/RPL PERM LEADLESS PACEMAKER RV W/IMG                                  ,"$6,856.00 ",,
TCAT IV STENT CRV CRTD ART EMBOLIC PROTECJ                                      ,"$1,104.00 ",,
TCAT IV STENT CRV CRTD ART W/O EMBOLIC PROTECJ                                  ,"$1,064.00 ",,
TCAT PERMANENT OCCLUSION/EMBOLIZATION PRQ CNS                                   ,"$1,163.00 ",,
TCAT PERMANT OCCLUSION/EMBOLIZATION PRQ NON-CNS                                 ,"$1,745.00 ",,
TCAT PLMT IV STENT ICRA W/BALO ANGIOP IF PFRMD                                  ,"$13,129.00 ",,
TCAT PLMT XTRC VRT CRTD STENT RS&I PRQ 1ST VSL                                  ,"$1,270.00 ",,
TCAT PLMT XTRC VRT CRTD STENT RS&IPRQ EA VSL                                    ,"$1,667.00 ",,
TCAT REMOVAL PERM LEADLESS PACEMAKER R VENTR                                    ,"$3,660.00 ",,
TD VACCINE PRSRV FREE 7 YRS OR OLDER FOR IM USE                                 ,$122.35 ,,
TDAP VACCINE 7 YRS/> IM                                                         ,$156.70 ,,
TEAM CONFERENCE NON-FACE-TO-FACE PHYSICIAN                                      ,$128.00 ,,
"TECHNETIUM TC-99M APCITIDE, DIAGNOSTIC, PER STUDY DOSE,                         ","$1,962.00 ",,
"TECHNETIUM TC-99M BICISATE, DIAGNOSTIC, PER STUDY DOSE,                         ","$1,961.00 ",,
"TECHNETIUM TC-99M DISOFENIN, DIAGNOSTIC, PER STUDY DOSE                         ",$68.00 ,,
TECHNETIUM TC-99M EXAMETAZIME LABELED AUTOLOGOUS WHITE                          ,"$2,857.00 ",,
"TECHNETIUM TC-99M EXAMETAZIME, DIAGNOSTIC, PER STUDY DO                         ","$1,900.00 ",,
"TECHNETIUM TC-99M LABELED RED BLOOD CELLS, DIAGNOSTIC,                          ",$191.00 ,,
"TECHNETIUM TC-99M MACROAGGREGATED ALBUMIN, DIAGNOSTIC,                          ",$864.00 ,,
"TECHNETIUM TC-99M MEBROFENIN, DIAGNOSTIC, PER STUDY DOS                         ",$193.00 ,,
"TECHNETIUM TC-99M MEDRONATE, DIAGNOSTIC, PER STUDY DOSE                         ",$43.00 ,,
"TECHNETIUM TC-99M MERTIATIDE, DIAGNOSTIC, PER STUDY DOS                         ",$455.00 ,,
"TECHNETIUM TC-99M PENTETATE, DIAGNOSTIC, AEROSOL, PER S                         ",$341.00 ,,
"TECHNETIUM TC-99M PENTETATE, DIAGNOSTIC, PER STUDY DOSE                         ",$199.00 ,,
"TECHNETIUM TC-99M PERTECHNETATE, DIAGNOSTIC, PER MILLIC                         ",$2.00 ,,
"TECHNETIUM TC-99M PYROPHOSPHATE, DIAGNOSTIC, PER STUDY                          ",$70.00 ,,
"TECHNETIUM TC-99M SESTAMIBI, DIAGNOSTIC, PER STUDY DOSE                         ",$329.00 ,,
"TECHNETIUM TC-99M SUCCIMER, DIAGNOSTIC, PER STUDY DOSE,                         ",$639.00 ,,
"TECHNETIUM TC-99M SULFUR COLLOID, DIAGNOSTIC, PER STUDY                         ",$267.00 ,,
"TECHNETIUM TC-99M TETROFOSMIN, DIAGNOSTIC, PER STUDY DO                         ",$124.00 ,,
"TECHNETIUM TC-99M TILMANOCEPT, DIAGNOSTIC, UP TO 0.5 MI                         ",$994.00 ,,
TELETHX ISODOSE PLN CPLX W/BASIC DOSIMETRY                                      ,$724.00 ,,
TELETHX ISODOSE PLN SMPL W/DOSIMETRY CALCULATION                                ,$360.00 ,,
TEMOZOLAMIDE 5MG,$0.00 ,Invoice-based charges,
TEMPORARY CLOSURE EYELIDS SUTURE                                                ,"$1,624.00 ",,
TEMPORARY TRANSCUTANEOUS PACING                                                 ,$737.00 ,,
TENDON SHEATH INCISION                                                          ,"$3,760.00 ",,
"TENIPOSIDE, 50MG",$0.00 ,Invoice-based charges,
TENOTOMY ADDUCTOR HIP PERCUTANEOUS SPX                                          ,"$3,760.00 ",,
TENOTOMY ELBOW LATERAL/MEDIAL PERCUTANEOUS                                      ,"$6,918.00 ",,
TENOTOMY OPEN EXTENSOR FOOT/TOE EACH TENDON                                     ,"$2,692.00 ",,
TENOTOMY PERCUTANEOUS SINGLE EACH DIGIT                                         ,"$3,760.00 ",,
TENOTOMY PERCUTANEOUS TOE MULTIPLE TENDON                                       ,"$3,760.00 ",,
TENOTOMY PERCUTANEOUS TOE SINGLE TENDON                                         ,"$2,692.00 ",,
TENOTOMY PRQ ACHILLES TENDON SPX LOCAL ANES                                     ,"$1,674.00 ",,
TENOTOMY PRQ ADDUCTOR/HAMSTRING 1 TENDON SPX                                    ,"$6,052.00 ",,
TENOTOMY PRQ ADDUCTOR/HAMSTRING MULTIPLE TENDON                                 ,"$6,052.00 ",,
TESTICULAR IMAGING WITH VASCULAR FLOW                                           ,"$1,916.00 ",,
TESTING AUTONOMIC NERVOUS SYSTEM FUNCTION                                       ,$491.00 ,,
TESTOSTERO CYPIONATE 100MG,$0.00 ,Invoice-based charges,
TESTOSTERONE ENTANTHATE 100MG,$0.00 ,Invoice-based charges,
"THALLIUM TL-201 THALLOUS CHLORIDE, DIAGNOSTIC, PER MILL                         ",$36.00 ,,
THAWING&EXPANSION FROZEN CELLS EACH ALIQUOT                                     ,$305.00 ,,
THER APHERESIS W/EXTRACORPOREAL IMMUNOADSORPTION                                ,"$2,124.00 ",,
THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC                                 ,$395.00 ,,
THER PROPH/DX NJX IV PUSH SINGLE/1ST SBST/DRUG                                  ,$430.00 ,,
THER PX 1/> AREAS EA 15 MIN GAIT TRAINJ W/STAIR                                 ,$119.00 ,,
THER PX 1/> AREAS EACH 15 MIN AQUA THER W/XERSS                                 ,$110.00 ,,
THER PX 1/> AREAS EACH 15 MIN NEUROMUSC REEDUCA                                 ,$110.00 ,,
THER PX 1/> AREAS EACH 15 MINUTES MASSAGE                                       ,$112.00 ,,
THER RAD SIMULAJ-AIDED FIELD SETTING COMPLEX                                    ,"$1,279.00 ",,
THER RAD SIMULAJ-AIDED FIELD SETTING INTERMED                                   ,"$1,075.00 ",,
THER RAD SIMULAJ-AIDED FIELD SETTING SIMPLE                                     ,$669.00 ,,
THER SP-GENRATJ DEV PRGRMG&MODIFICAJ                                            ,$208.00 ,,
THERAPEUT ACTVITY DIRECT PT CONTACT EACH 15 MIN                                 ,$110.00 ,,
THERAPEUTIC APHERESIS PLASMA PHERESIS                                           ,"$4,998.00 ",,
THERAPEUTIC APHERESIS PLATELETS                                                 ,"$2,001.00 ",,
THERAPEUTIC APHERESIS RED BLOOD CELLS                                           ,"$2,001.00 ",,
THERAPEUTIC APHERESIS WHITE BLOOD CELLS                                         ,"$2,001.00 ",,
THERAPEUTIC CONTACT LENS,$0.00 ,Invoice-based charges,
THERAPEUTIC INJECTION IV PUSH EACH NEW DRUG                                     ,$206.00 ,,
THERAPEUTIC IVNTJ W/FOCUS ON COGNITIVE FUNCTION                                 ,$110.00 ,,
THERAPEUTIC PROCEDURES GROUP 2/> INDIVIDUALS                                    ,$110.00 ,,
"THERAPEUTIC PROCEDURES TO IMPROVE RESPIRATORY FUNCTION,                         ",$74.00 ,,
THERAPEUTIC PROCEDURES TO INCREASE STRENGTH OR ENDURANC                         ,$172.00 ,,
THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM                                   ,$255.00 ,,
THERAPEUTIC PX 1/> AREAS EACH 15 MIN EXERCISES                                  ,$138.00 ,,
THERAPEUTIC RADIOLOGY PORT IMAGES(S)                                            ,$289.00 ,,
THIETHYLPERAZINE MAL INJ 10MG,$0.00 ,Invoice-based charges,
"THIOTEPA, 15 MG",$0.00 ,Invoice-based charges,
THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING                                      ,"$4,331.00 ",,
THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING                                    ,"$4,331.00 ",,
THORACIC SURGICAL SUPPLIES,$0.00 ,Invoice-based charges,
THORACOSCOPY CONTROL TRAUMATIC HEMORRHAGE                                       ,$824.00 ,,
THORACOSCOPY W/PLEURODESIS                                                      ,$895.00 ,,
THORSC DX LUNGS/PERICAR/MED/PLEURAL SPACE W/O BX                                ,$619.00 ,,
