MASSACHUSETTS GENERAL HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
27001330,HC MEE PLATE,I.C.
27001315,"HC MEE MICROPIC,MEDONE",I.C.
27001306,HC MEE SCISSORS DISPOSABLE,I.C.
27001301,HC MEE FORCEPS,I.C.
27001288,HC MEE DRILL,I.C.
27001286,"HC MEE SURGIFLO,HEMOSTATIC MATRIX",I.C.
27001284,HC MEE CLIP,I.C.
27001283,HC MEE SINUS BALLON,I.C.
27001281,HC MEE SHEARS HARMONIC,I.C.
27001278,"HC MEE TAMPON, NASAL",I.C.
27001267,HC MEE SURG SUPPLY; MISC,I.C.
27001266,HC MEE SHEATH SOTRZ,I.C.
27001265,HC MEE SALINE,I.C.
27001264,HC MEE TRACKER ENT,I.C.
27001263,HC MEE COBLATION WAND,I.C.
27001262,HC MEE NEEDLE,I.C.
27001261,HC MEE CASSETTE IRRIG CORE,I.C.
27001254,HC MEE PACK,I.C.
27001253,HC MEE PROBE LASER,I.C.
27001252,HC MEE BLADE,I.C.
27001251,HC MEE SILK STRIPS,I.C.
27001249,HC MEE BIT DRILL,I.C.
27001247,HC MEE TUBE MISC OTHER,I.C.
27001245,HC MEE BUR,I.C.
27001244,HC MEE CATHETER,I.C.
27001243,HC MEE TUBE,I.C.
27001240,HC MEE FEEDING TUBE,I.C.
27001236,"HC MEE SHEETING, SILASTIC",I.C.
27001235,HC MEE SLEEVE SEQ-COMP,I.C.
27001233,HC MEE LIGACLIP APPLIER CLIPS,I.C.
27001231,HC MEE LENS,I.C.
27001227,HC MEE TISSEEL,I.C.
27001226,HC MEE PROBE,I.C.
27001224,HC SHOCKPULSE LITHOTRIPSY PROBE STERILE,"$2,426.67"
27001223,HC LSO SAGITTAL-CORONAL RIGID ANT/POS PNL PRE OTS,$819.00
27001188,HC HMIII CONTROLLER LVAD EMERGENCY BATTERY BACKUP,"$13,750.00"
27001186,"HC TRACHEOSTOMY TUBE COLLAR/HOLDER, EACH",$6.13
27001185,"HC OSTOMY POUCH, DRAINABLE, WITH BARRIER ATTACHED, WITH FILTER(1 PIECE), EACH",$4.17
27001184,HC ALGINATE DRESSING >=16 SQ IN <=48 SQ IN,$12.67
27001178,"HC WIRELESS PRESSURE SENSOR W/DEL CATH, ALL CMPNTS","$43,750.00"
27001177,"HC ANGIOVAC THROMB/EMBOL CANNULA, PLUS CIRCUIT","$32,500.00"
27001176,HC ANGIOVAC THROMB/EMBOL CANNULA,"$28,750.00"
27001174,HC PROBE AMICA MICROWAVE,"$5,500.00"
27001172,"HC GASTRO/JEJUNO TUBE, STD, ANY TYPE, EACH",I.C.
27001156,"HC STANDARD TRACHEOSTOMY/LARYNGECTOMY TUBE, CUFFED, PVC",$84.00
27001150,HC BONE GROWTH STIMULATOR TIER2,I.C.
27001147,"HC COLLAGEN DRESSING, STERILE <=16 SQ IN EACH",I.C.
27001146,"HC TOTALCATH, PORT/RES(VEN,ART,EPI,SUBA,PERI) TIER1",I.C.
27001145,"HC CATH, TRANSLUM ANGIO, DRUG, NONLASER TIER3",I.C.
27001144,"HC CATH, TRANSLUM ANGIO, DRUG, NONLASER TIER2","$4,500.00"
27001143,"HC CATH, TRANSLUM ANGIO, DRUG, NONLASER TIER1",I.C.
27001139,HC G140016 VENITI VICI VENOUS STENT SYSTEM,"$5,100.00"
27001136,"HC URINE CATH; STR UP W/WO COAT(TFL, SIL, HYDRO, ETC)",$8.16
27001135,"HC AMNIOBAND OR GUARDIAN, 24 SQ CM","$8,550.00"
27001134,"HC AMNIOBAND OR GUARDIAN, 16 SQ CM","$8,200.00"
27001133,"HC AMNIOBAND OR GUARDIAN, 5 SQ CM","$4,273.50"
27001132,"HC AMNIOBAND OR GUARDIAN, 4 SQ CM","$3,780.00"
27001131,HC ALLOGRAFT MEMBRANE AMNIOTIC TIER3,"$6,750.00"
27001130,HC ALLOGRAFT MEMBRANE AMNIOTIC TIER2,"$3,945.00"
27001129,HC FLEX/ALLOPATCH/MATRIX HD > 600 <= 725 SQ CM,"$46,982.50"
27001128,HC FLEX/ALLOPATCH/MATRIX HD 120 SQ CM,"$13,185.00"
27001127,HC FLEX/ALLOPATCH/MATRIX HD 72 SQ CM,"$10,890.00"
27001126,HC FLEX/ALLOPATCH/MATRIX HD 64 SQ CM,"$7,117.50"
27001125,HC ALLOGRAFT PATELLA W/ATTACH FRESH T3,"$28,000.00"
27001124,"HC TAPE, WATERPROOF PER 18 SQ IN",I.C.
27001120,HC EXTERNAL FIXATION COMPONENTS TIER3,"$6,860.00"
27001119,HC EXTERNAL FIXATION COMPONENTS TIER2,"$4,623.00"
27001118,HC EXTERNAL FIXATION COMPONENTS TIER1,"$1,582.00"
27001117,HC EXTERNAL FIXATION DEVICE WITH IMPLANTED PINS TIER3,I.C.
27001113,HC INDWELLING CATHETER FOLEY TYPE 3-WAY FOR CONTINUOUS IRRIGATION EACH,$43.93
27001112,"HC INDWELLING CATHETER; FOLEY TYPE, 2-WAY LATEX WITH COATING, EACH",$50.75
27001111,"HC ARTHROFLEX, PER SQUARE CENTIMETER","$2,943.50"
27001107,HC MGH GLIADEL WAFER/EACH WAFER,"$9,073.28"
27001106,HC ALLOGRAFT MEMBRANE AMNIOTIC T3,"$5,952.00"
27001105,HC ALLOGRAFT MEMBRANE AMNIOTIC T2,"$4,002.00"
27001104,HC SYNCARDIA SPARE PARTS KIT,"$5,250.00"
27001103,HC FOAM DRG >16<=48 SQ IN W/O B,$28.18
27001102,"HC CONFORM BAND N/S W>=3""<5""/YD",$3.50
27001101,HC FOAM DRG >16<=48 SQ IN W/BDR,$91.81
27001100,HC ALGINATE DRSG WOUND FILLER,$23.66
27001095,HC ELECTRODE SUBDURAL TIER1,"$2,229.50"
27001094,HC MITRACLIP SYSTEM KIT,"$75,000.00"
27001093,HC ROTTERDAM SYMPHYSIS DISTRACTOR,"$6,737.30"
27001092,HC CATHETER OCCLUSION TIER2,"$4,200.00"
27001090,HC WOUND POUCH EACH TIER1,$22.40
27001088,HC EPIFIX PER SQ CM,I.C.
27001087,HC HYDROGEL DRESSING WOUND FILLER GEL 3 OZ TIER 1,$19.11
27001086,HC TUBE COLLAGEN NERVE PROTECTOR 4CM TIER2,"$4,893.00"
27001085,HC FLEX/ALLOPATCH/MATRIX HD 48 SQ CM TIER2,"$4,962.00"
27001084,HC FLEX/ALLOPATCH/MATRIX HD 160 SQ CM TIER3,"$13,602.50"
27001083,HC FLEX/ALLOPATCH/MATRIX HD 500 SQ CM TIER3,"$42,487.50"
27001082,HC FLEX/ALLOPATCH/MATRIX HD 12 SQ CM TIER1,"$2,283.75"
27001081,HC STRATTICE 600 SQ CM TIER3,"$35,857.50"
27001080,HC ALLODERM 77 SQ CM TIER3,"$5,567.50"
27001079,HC ALLODERM 132 SQ CM TIER3,"$9,050.00"
27001078,HC ALLODERM 164 SQ CM TIER3,"$12,215.00"
27001077,HC STRATTICE 800 SQ CM TIER3,"$47,810.00"
27001076,"HC INTEGRA MATRIX 8""X 10"" (516 SQ CM)",$32.65
27001075,"HC INTEGRA MATRIX 4""X 10"" (258 SQ CM)",$41.64
27001074,"HC INTEGRA MATRIX 4""X 5"" (129 SQ CM)",$51.21
27001073,"HC INTEGRA MATRIX 2""X 2"" (26 SQ CM)",$182.77
27001072,HC GRAFTJACKET 28  SQ CM TIER1,"$5,532.50"
27001071,"HC INTEGRA DERMAL REGEN TEMPLATE 8""X 10"" (516 SQ CM)",$35.92
27001070,"HC INTEGRA DERMAL REGEN TEMPLATE 4""X 10"" (258 SQ CM)",$45.80
27001069,"HC INTEGRA DERMAL REGEN TEMPLATE 2""X 2"" (26 SQ CM)",$201.03
27001068,"HC INTEGRA DERMAL REGEN TEMPLATE 4""X 5"" (129 SQ CM)",$56.33
27001067,HC INTEGRA BILAYER MATRIX WOUND DRESS 516 SQ CM TIER3,"$9,703.95"
27001066,"HC INTEGRA BILAYER MATRIX WOUND DRESS 4""X 5"" (129 SQ CM)",$58.89
27001065,HC INTEGRA BILAYER MATRIX WOUND DRESS 40 SQ CM TIER3,"$6,994.35"
27001064,"HC INTEGRA BILAYER MATRIX WOUND DRESS 2""X 2"" (26 SQ CM)",$201.03
27001063,HC HEARTWR WEARABLE ACCESS #106129,$595.00
27001062,HC PWR MOD PATIENT CABLE 14V #103426,"$4,375.00"
27001061,HC SUPPLY MISC PM/PBU CORD #1225,"$1,137.50"
27001060,HC SUPPLY MISC PM/PBU CORD #103860,$122.50
27001059,HC SUPPLY MISC STABIL BELT,$175.00
27001058,HC SUPPLY MISC BATTERY MOD,$308.00
27001057,HC TLCII CAR POWER ADPTR #20010000137,"$1,050.00"
27001056,HC TLCII MOBIILTY CART #20010000095,"$1,750.00"
27001055,HC 14 VOLT LI-ION BATTERY INDIV #2465,"$2,187.50"
27001054,HC BATTERY OTHER E/P VAD REPLACE #2025,$525.00
27001053,HC UNIV BATTERY CHRG #1440 - REFURB,"$3,465.00"
27001052,HC TLCII CHARGE #200102820000,"$7,500.00"
27001051,HC TLCII CHARGE #200102820000 - REFURB,I.C.
27001050,HC PUMP HAND PVAD #147872589000,$280.00
27001049,HC TLCII PVAD DRIVER PACK #200102805000,"$187,500.00"
27001048,HC ASSEMBLY DRIVER PNEUM PACK #1006,"$200,000.00"
27001047,HC TLC II DRIVER- REFURBISHED,"$27,000.00"
27001046,HC MEDISKIN PER SQ CM TIER1,$493.50
27001044,HC MATRISTEM MICROMATRIX 100 MG TIER1,$11.20
27001042,HC OASIS WOUND MATRIX 21 SQ CM TIER1,$21.78
27001041,HC OASIS WOUND MATRIX 10.5 SQ CM TIER 1,$21.78
27001040,HC APLIGRAF 44 SQ CM TIER1,$103.01
27001039,HC TLSO FLEX TRNK SJ-SS PRE CST TIER1,$262.50
27001038,HC TRACHEOSTOMA STENT/STUD/BUTTON TIER 1,$595.00
27001036,HC MEDISKIN 976 SQ CM,$472.50
27001035,HC EPIFIX 49 SQ CM TIER3,"$23,852.50"
27001034,HC EPIFIX 30 SQ CM TIER3,"$14,605.00"
27001033,HC EPIFIX 16 SQ CM TIER3,$667.33
27001032,HC EPIFIX 6 SQ CM TIER1,$452.34
27001031,HC STRATTICE 64 SQ CM TIER2,"$4,917.00"
27001030,HC STRATTICE 900 SQ CM TIER3,"$53,787.50"
27001029,HC STRATTICE 1000 SQ CM TIER3,"$59,760.00"
27001028,HC STRATTICE 450 SQ CM TIER3,"$26,895.00"
27001027,HC STRATTICE 250 SQ CM TIER3,"$14,942.50"
27001026,HC STRATTICE 100 SQ CM TIER3,"$5,980.00"
27001025,HC STRATTICE 120 SQ CM TIER3,"$5,757.50"
27001024,HC STRATTICE 78 SQ CM TIER2,"$4,017.00"
27001023,HC STRATTICE 48 SQ CM TIER1,"$4,025.00"
27001022,HC ALLODERM 24 SQ CM TIER1,"$2,236.50"
27001021,HC ALLODERM 72 SQ CM TIER3,"$5,367.50"
27001020,HC SURGIMEND FETAL 1000 SQ CM TIER3,"$57,500.00"
27001019,HC SURGIMEND FETAL 325 SQ CM TIER3,"$18,687.50"
27001018,HC SURGIMEND FETAL 320 SQ CM TIER3,"$18,400.00"
27001017,HC SURGIMEND FETAL 100 SQ CM TIER3,"$5,750.00"
27001016,HC SURGIMEND FETAL 64 SQ CM TIER2,"$4,416.00"
27001015,HC SURGIMEND FETAL 48 SQ CM TIER1,"$3,864.00"
27001014,HC SURGIMEND FETAL 9 SQ CM TIER1,$724.50
27001013,HC SURGIMEND FETAL 30 SQ CM TIER1,"$2,415.00"
27001012,HC SURGIMEND FETAL 28 SQ CM TIER1,"$2,254.00"
27001011,HC SURGIMEND FETAL 200 SQ CM TIER3,"$11,500.00"
27001010,HC SURGIMEND NEONATAL 72 SQ CM TIER2,"$4,968.00"
27001009,HC SURGIMEND NEONATAL 1000 SQ CM TIER3,"$57,500.00"
27001008,HC SURGIMEND NEONATAL 500 SQ CM TIER3,"$28,750.00"
27001005,HC ADD HALO REPL LINER/INTERFACE T1,"$3,526.25"
27001004,HC ADD HALO MRI SYS RING/PINS T1,"$1,876.88"
27000992,HC IMPLANT EAR FIXTURE WITH ABUTMENT,"$1,450.00"
27000991,HC ALLODERM 160 SQ CM TIER3,"$11,575.00"
27000990,HC ALLODERM 240 SQ CM TIER3,"$17,367.50"
27000989,HC ALLODERM 192 SQ CM TIER3,"$13,892.50"
27000988,HC ALLODERM 108 SQ CM TIER3,"$7,790.00"
27000987,HC ALLODERM 200 SQ CM TIER3,"$14,472.50"
27000986,HC ALLODERM 160 SQ CM TIER3,"$11,577.50"
27000985,"HC ADHESIVE, LIQUID OR EQUAL, ANYTYPE, PER OZ TIER1",$297.50
27000984,"HC PROSTHETIC IMPLANT, NOT OTHERWISE SPECIFIED TIER1","$1,991.50"
27000983,HC TRACHEOSTOMY SPEAKING VALVE TIER1,$528.50
27000982,HC CTLSO A-P-L CONTROL MOLDED TIER3,"$9,990.00"
27000981,HC TLSO FLEX PREFAB SACROCOC-T10 TIER2,"$4,180.00"
27000980,HC ARCH SUPP ATT TO SHOE METATA TIER1,$168.00
27000979,HC FOOT ARCH SUPP PREMOLD METAT TIER1,$70.00
27000978,HC FOOT LONGITUD/METATARSAL SUP TIER1,$420.00
27000977,HC FOOT INSERT REMOV MOLDED SPE TIER1,$175.00
27000976,HC CERV COL SUPP ADJ BAR & THOR TIER1,"$1,095.50"
27000975,HC BRACHY N-S YTTRIUM-90 PER SOURCE T3,"$63,000.00"
27000974,HC THORATEC DEVICE,"$140,570.00"
27000973,HC TCI DEVICE,"$130,000.00"
27000972,HC IMPELLA SYSTEM 1 DAY,$289.00
27000971,HC IMPELLA CARDIAC DEVICE,"$62,500.00"
27000968,HC IMPLANT EAR FIXTURE W/ABUTMENT,I.C.
27000967,HC TLSO TRIPL MOD RIGID SHELL 3PC-T1,"$1,290.00"
27000966,"HC BRST PRSTH BRA, BILAT FORM T1",$525.00
27000965,"HC BRST PRSTH BRA, UNILAT FORM T1",$525.00
27000964,HC MGH SKYLA IUD 13.5MG LEVONORGESTRE,"$2,763.86"
27000963,HC MGH BURR/BLADE/DISPBLE,I.C.
27000962,HC MGH CLOSURE DEVICE VASCULAR,I.C.
27000961,HC TRANSSEPTAL NEEDLE,I.C.
27000960,HC MGH HEARTMATE II SYSTEM DRIVER,I.C.
27000959,HC MGH TCI HEARTMATE II #1355,I.C.
27000958,HC MGH SHEATH INTRODUCER NON LASER,I.C.
27000957,HC MGH SEALANT PULMONARY  LIQUID IMP,I.C.
27000956,HC MGH RPAIR DVCE URIN INCONT W/SLNG,I.C.
27000955,HC MGH PORT INDWELLING,I.C.
27000954,HC MGH PT PROGRAMMER NEUROSTIMULATOR,I.C.
27000953,HC MGH LEAD NEUROSTIMULATOR TEST KIT,I.C.
27000952,HC MGH GENERATOR  NEUROSTIMULATOR,I.C.
27000951,HC MGH TESTICULR PROSTHESIS,I.C.
27000950,HC MGH OR CLAMP(S),I.C.
27000949,HC MGH OR PLEUR-EVACS (5),I.C.
27000948,HC MGH OR SLINGS,I.C.
27000947,HC MGH COCHLEAR DEVICE/SYSTEM,I.C.
27000946,HC MGH LEAD NEUROSTIMULATOR,I.C.
27000945,HC MGH TOTAL ANKLE REPLACEMENT,I.C.
27000944,HC MGH CATH HEMODIALYSIS LONG-TERM,I.C.
27000943,HC MGH CHIN IMPLANT,I.C.
27000942,HC MGH INFUSION PUMP NON PROGRAM  PER,I.C.
27000941,HC MGH GRAFT VASCULAR,I.C.
27000940,HC MGH OR PINS,I.C.
27000939,HC MGH OR RODS,I.C.
27000938,HC MGH CATH OCCLUSION,I.C.
27000937,HC MGH GENERATOR NEURO RECHG BAT SYST,I.C.
27000936,HC MGH HEARTWR CONTROLLER DEVICE,I.C.
27000935,HC MGH IRRIGATION DEVICE,I.C.
27000934,HC MGH CATH THROMBECTOMY/EMBOLECTOMY,I.C.
27000933,HC MGH CENTRIMAG DEVICE,I.C.
27000932,HC MGH T TUBE,I.C.
27000931,HC MGH ENDOMETRIAL ABLATION SYSTEM,I.C.
27000930,HC MGH SUPER DIMENSION SYSTEM KIT,I.C.
27000929,HC MGH HEMOVAC,I.C.
27000928,HC MGH MESH (IMPLANTABLE),I.C.
27000927,HC MGH CHEST DRAINAGE KIT,I.C.
27000926,HC MGH TELESHUNT KIT,I.C.
27000925,HC MGH GUIDE WIRE,I.C.
27000924,HC MGH OR PLEUR-EVACS (4),I.C.
27000923,HC MGH VALVE RING,I.C.
27000922,HC MGH ORTHO SOFT GOODS,I.C.
27000921,HC MGH STENT,I.C.
27000920,HC MGH ROBOTIC SUPPLY KIT,"$7,014.00"
27000919,HC MGH SHOULDER PROSTHESIS,I.C.
27000918,HC MGH SKIN SEALANTS ANY TYPE/SIZE,I.C.
27000917,HC MGH OR PLEUR-EVACS (3),I.C.
27000916,HC MGH WOUND DRAINAGE DEVICE,I.C.
27000915,HC ENDOSCOPIC VESSEL HARVESTING,I.C.
27000914,HC MGH OR NAILS,I.C.
27000913,HC MGH HEART VALVE,I.C.
27000912,HC MGH OR PLEUR-EVACS (2),I.C.
27000911,HC MGH OR PLEUR-EVAC (ONE),I.C.
27000910,HC MGH MAMMARY IMPLANT,I.C.
27000909,HC MGH TOTAL KNEE PROSTHESIS,I.C.
27000908,HC MGH PERFUSION  KIT,I.C.
27000907,HC MGH TOTAL HIP REPLACEMENT,I.C.
27000906,HC MGH OR SCREWS/PLATES,I.C.
27000905,HC MGH O.R.SCREW(S),I.C.
27000904,HC MGH ANCHOR/SCREW OPPOS BN/BN/ SFT,I.C.
27000903,HC MGH BONE CEMENT,I.C.
27000902,HC MGH BONE FIXATION DEVICE,I.C.
27000901,HC HMII SLD OUTFLW/BEND #103393,"$12,000.00"
27000900,HC HMII SEALED INFLOW COND #10414,"$14,750.00"
27000899,HC HEARTMATE II SUPPORT KT 103601,"$30,813.00"
27000898,HC IMPELLA RECOVER 5.0,"$80,000.00"
27000897,HC CENTRIMAG SYSTEM 1 DAY,$210.00
27000896,HC CENTRIMAG DEVICE,"$30,000.00"
27000895,HC RENTAL TLC 2 PBU W/SUPPLIES,"$333,625.00"
27000894,HC INPATIENT TLC 2 PBU,"$123,750.00"
27000893,HC ABIOMED VENTRICLES #0550032MH,"$100,000.00"
27000892,HC IMPELLA DAILY RATE LP 5.0,"$3,204.00"
27000891,HC UNIVERSAL BATTERY CHARGER 1440,"$18,000.00"
27000890,HC HEARTWR BATTERY CHARGER,"$15,250.00"
27000889,HC MOBILE/POWER UNIT/MOD,"$19,500.00"
27000888,HC HM SYSTEM TO PM CABLE #103859,"$1,400.00"
27000887,HC HEARTWR HVAD DEVICE,"$210,500.00"
27000886,HC HEARTMATE II SYSTEM DRIVER,"$11,250.00"
27000885,HC HM II LVAD IMPLANT,"$154,500.00"
27000884,HC HEARTWARE IMPLANT 1103/5400,"$218,750.00"
27000883,HC HEARTWR CONTROLLER DEVICE,"$17,875.00"
27000882,HC SYNCARDIA TAH SPARE PARTS 70CC,"$5,250.00"
27000881,HC HMII SHOWER BAG #104216,$788.00
27000880,HC VAD SHOWER KIT,"$1,488.00"
27000879,HC HEARTWR PATIENT PACK,"$1,487.50"
27000878,HC MODULR BELT SM/MD/LG #104227/8,"$1,207.50"
27000877,HC HEARTWR MONITOR KIT,"$24,875.00"
27000876,HC HEARTWR PUMP IMPLNT ACCSRY KIT,"$13,250.00"
27000875,HC HEARTWR CONTOLLER DC ADAPTER,"$5,000.00"
27000874,HC POWER MODULE PATIENT CABLE2225,"$3,325.00"
27000873,HC CONSOLIDATED BAG BLACK 104222,"$1,138.00"
27000872,HC POWER MODULE DC INPUT CBLE2230,$788.00
27000871,HC HEARTWR CONTROLLER DEVICE,"$11,250.00"
27000870,HC VAD CONTROLLER,I.C.
27000869,HC VAD EMERGENCY POWER,I.C.
27000868,HC VAD EMERGENCY HAND PUMP,I.C.
27000867,HC 14 VOLT LI-ION BATTERY SET2465,I.C.
27000866,HC 14 VOLT LI BATT CLIP SET 2865,I.C.
27000865,HC HEARTWR PATIENT PACK,I.C.
27000864,HC MODULR BELT SM/MD/LG #104227/8,I.C.
27000863,HC VAD BELT,I.C.
27000861,HC HMII SHOWER BAG #104216,I.C.
27000860,HC HEARTWR SHOWER BAG,I.C.
27000859,HC HEARTWR CONTOLLER DC ADAPTER,I.C.
27000858,HC CONSOLIDATED BAG BLACK 104222,I.C.
27000857,HC HEARTWR MONITOR KIT,I.C.
27000856,HC HEARTWR PUMP IMPLNT ACCSRY KIT,I.C.
27000855,HC POWER MODULE PATIENT CABLE2225,I.C.
27000854,HC POWER MODULE DC INPUT CBLE2230,I.C.
27000853,HC TRAVEL CASE #1260,I.C.
27000851,HC WHFO W/O JOINTS PRE OTS,$28.00
27000850,HC COOK EXTRACTOR STONE NCOMPASS,$721.00
27000834,HC SLINGS T1,I.C.
27000833,HC IMPLANT BREAST SILICONE/EQ T1,"$2,047.50"
27000772,HC AUDITORY OSSEOINTGRATED DEVICE T3,I.C.
27000764,HC HEARTWR BATTERY,"$2,625.00"
27000763,HC WHO WRIST PREFAB T1,$248.50
27000762,HC PORCINE PERMACOL 600 SQ CM T3,I.C.
27000761,HC PORCINE PERMACOL 100 SQ CM T2,I.C.
27000760,HC CLIP ANEURYSM PERMANENT T1,I.C.
27000759,HC SURGIMEND FETAL 128 SQ CM T3,I.C.
27000758,HC SURGIMEND NEONATAL 600 SQ CM T3,I.C.
27000757,HC SURGIMEND FETAL 119 SQ CM T3,I.C.
27000756,HC SURGIMEND NEONATAL 325 SQ CM T3,I.C.
27000755,HC SURGIMEND NEONATAL 150 SQ CM T3,I.C.
27000754,HC SURGIMEND FETAL 150 SQ CM T3,I.C.
27000753,HC SURGIMEND FETAL 96 SQ CM T3,I.C.
27000752,HC SURGIMEND FETAL 72 SQ CM T2,I.C.
27000749,HC TUNNELER CARTRIDGE BONE ARTHRO T1,I.C.
27000748,HC EXTERNAL FIXATION DEVICE WITH IMPLANTED PINS T2,"$4,305.00"
27000723,HC VALVE / RING HEART ALLOGRAFT T3,"$11,167.43"
27000722,HC VALVE / RING HEART ALLOGRAFT T2,"$4,472.76"
27000721,HC VALVE / RING HEART ALLOGRAFT T1,"$4,263.00"
27000720,HC STENT GRAFT ENDOVASCULAR T3,"$13,054.23"
27000719,HC STENT GRAFT ENDOVASCULAR T1,$175.00
27000718,HC STAPLE REINFORCEMENT T3,"$5,015.00"
27000717,HC STAPLE REINFORCEMENT T1,$608.66
27000716,HC SHUNT CAROTID / NEURO T3,"$5,637.10"
27000715,HC SHUNT CAROTID / NEURO T2,"$4,922.58"
27000714,HC SHUNT CAROTID / NEURO T1,$865.13
27000713,HC RETRIEVAL DEVICE OTHER THAN FRACTURED MED DEVICE T2,"$4,227.60"
27000712,HC RETRIEVAL DEVICE OTHER THAN FRACTURED MED DEVICE T1,$602.21
27000711,HC POSITIONER STENT T1,$462.00
27000710,HC PERMANENT VESSEL PROTECTION T3,"$10,112.50"
27000709,HC ORTHO SOFT GOODS T1,"$1,382.50"
27000708,HC OCCLUDER T1,"$2,837.59"
27000707,HC KIT / TRAY TANDEM HEART T3,"$56,250.00"
27000706,HC KIT / TRAY T3,"$8,192.50"
27000705,HC KIT / TRAY T1,$897.89
27000704,HC IMPLANT TESTICULAR T2,"$5,250.00"
27000703,HC IMPLANT TESTICULAR T1,"$1,662.50"
27000702,HC IMPLANT SPINAL T3,"$7,601.25"
27000701,HC IMPLANT SPINAL T2,"$2,532.17"
27000700,HC IMPLANT SPINAL T1,"$1,165.40"
27000699,HC IMPLANT SPINAL CUSTOM GROUP D T3,"$44,925.00"
27000698,HC IMPLANT SPINAL CUSTOM GROUP C T3,"$30,000.00"
27000697,HC IMPLANT SPINAL CUSTOM GROUP B T3,"$16,284.10"
27000696,HC IMPLANT SPINAL CUSTOM GROUP A T3,"$7,845.20"
27000695,HC IMPLANT HEART T3,"$218,750.00"
27000694,HC SCYNCARDIA TOTL ARTF HEART,"$311,750.00"
27000693,HC IMPLANT CRANIOFACIAL T3,"$11,900.00"
27000692,HC IMPLANT CRANIOFACIAL T2,"$4,446.06"
27000691,HC IMPLANT CRANIOFACIAL T1,"$1,059.42"
27000690,HC IMPLANT BREAST ACCESSORY T1,$434.18
27000689,HC IMPLANT BAND GASTRIC T3,"$7,045.00"
27000688,HC IMPLANT BAND GASTRIC T1,$868.00
27000687,HC FILLER DERMAL T1,"$1,061.76"
27000686,HC EMBOLIC AGENT T3,"$5,037.48"
27000685,HC EMBOLIC AGENT T2,"$3,948.00"
27000684,HC EMBOLIC AGENT T1,"$3,152.00"
27000683,HC ELECTRODE COAG/CUTTING/DISSECT T3,"$6,780.55"
27000682,HC ELECTRODE COAG/CUTTING/DISSECT T2,"$5,284.50"
27000681,HC ELECTRODE COAG/CUTTING/DISSECT T1,"$1,217.30"
27000680,HC COIL EMBOLIZATION T3,"$5,564.58"
27000679,HC COIL EMBOLIZATION T2,"$4,642.56"
27000678,HC COIL EMBOLIZATION T1,"$1,088.96"
27000677,HC COIL ACCESSORY T2,"$4,230.00"
27000676,HC COIL ACCESSORY T1,$721.74
27000675,HC CATHETER/DILATOR T3,"$5,344.63"
27000674,HC CATHETER/DILATOR T2,"$4,822.50"
27000673,HC CATHETER/DILATOR T1,$283.12
27000672,HC BONE GROWTH STIMULATOR T3,"$13,113.75"
27000671,HC BONE GROWTH STIMULATOR T1,"$1,610.00"
27000670,HC BAR STERNUM T1,"$1,925.70"
27000669,HC ALLOGRAFT VEIN T3,"$11,974.08"
27000668,HC ALLOGRAFT TENDON / BONE T3,"$5,940.88"
27000667,HC ALLOGRAFT TENDON / BONE T2,"$2,532.17"
27000666,HC ALLOGRAFT TENDON / BONE T1,"$1,774.19"
27000665,HC ALLOGRAFT CARTILAGE T3,"$9,548.38"
27000664,HC ALLOGRAFT MEMBRANE AMNIOTIC T1,"$2,397.50"
27000663,HC LENS IOL POSTERIOR CHAMBER T1,$520.10
27000662,HC LENS IOL ANTERIOR CHAMBER T1,$192.50
27000661,HC ORTHOSIS CRANIAL REMOLDING T1,"$3,200.00"
27000660,HC STRATTICE PER SQ CM T1,I.C.
27000659,HC STRATTICE 96 SQ CM T3,"$6,015.00"
27000658,HC STRATTICE 80 SQ CM T3,"$5,010.00"
27000657,HC STRATTICE 60 SQ CM T2,"$4,518.00"
27000656,HC STRATTICE 500 SQ CM T3,"$30,407.50"
27000655,HC STRATTICE 400 SQ CM T3,"$24,327.50"
27000654,HC STRATTICE 375 SQ CM T3,"$23,485.00"
27000653,HC STRATTICE 36 SQ CM T1,"$3,377.50"
27000652,HC STRATTICE 320 SQ CM T3,"$20,045.00"
27000651,HC STRATTICE 200 SQ CM T3,"$12,525.00"
27000650,HC STRATTICE 167 SQ CM T3,"$5,460.00"
27000649,HC STRATTICE 160 SQ CM T3,"$10,025.00"
27000648,HC STRATTICE 128 SQ CM T3,"$8,020.00"
27000647,HC DERMATRIX PER SQ CM T1,I.C.
27000646,HC DERMATRIX 96 SQ CM T3,"$12,068.75"
27000645,HC DERMATRIX 8 SQ CM T1,$805.00
27000644,HC DERMATRIX 60 SQ CM T3,"$5,300.00"
27000643,HC DERMATRIX 50 SQ CM T2,"$5,136.00"
27000642,HC DERMATRIX 4 SQ CM T1,$658.00
27000641,HC DERMATRIX 36 SQ CM T1,"$4,385.50"
27000640,HC DERMATRIX 320 SQ CM T3,"$28,305.00"
27000639,HC DERMATRIX 32 SQ CM T2,"$4,387.50"
27000638,HC DERMATRIX 288 SQ CM T3,"$26,040.00"
27000637,HC DERMATRIX 28 SQ CM T1,"$2,257.50"
27000636,HC DERMATRIX 25 SQ CM T2,"$4,441.50"
27000635,HC DERMATRIX 25 SQ CM T1,"$4,110.75"
